player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
43,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,No medal
44,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
45,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal
46,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
47,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Rings,No medal
48,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
49,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,No medal
50,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
51,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,No medal
52,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,No medal
53,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,No medal
54,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
55,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,No medal
56,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
57,Timo Aaltonen,M,Finland,FIN,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,No medal
58,Win Aaltonen,M,Finland,FIN,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
